captured_date,market,market_name,rank,rank_change,track_name,artist_names,artist_spotify_ids,track_spotify_id,image_url
2026-07-29,vn,Vietnam,1,–,Tìm Em (feat. Bảo Anh),Hngle; Bảo Anh,7kBsX15IDun9YxuVmKCMYJ; 4fCHhderLwLacsIOIKgu3J,6ELX356o21U28T73ZxruUj,https://i.scdn.co/image/ab67616d00001e0216d614a859798e628354b232
2026-07-29,vn,Vietnam,2,–,Seven (feat. Latto) (Explicit Ver.),Jung Kook; Latto,6HaGTQPmzraVmaVxvz6EUc; 3MdXrJWsbVzdn6fe5JYkSQ,2HRgqmZQC0MC7GeNuDIXHN,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316
2026-07-29,vn,Vietnam,3,–,xương rồng (intro),Dangrangto; DONAL,5xY6E5PMZNtz9jDvxTRiGI; 3rSAej8VUifF02zpsGjsRZ,6CTdPSNvUYw7UjerVIkUia,https://i.scdn.co/image/ab67616d00001e02f5ccda42421dd2d34cef2480
2026-07-29,vn,Vietnam,4,–,Không Buông,Hngle; Ari,7kBsX15IDun9YxuVmKCMYJ; 6cV92JqHZPWNfa7T4oAvR9,1ApIGNgp1azc0qB61x4GzG,https://i.scdn.co/image/ab67616d00001e028e2436033be92c06e4afee32
2026-07-29,vn,Vietnam,5,–,dự báo thời tiết hôm nay mưa,GREY D,6d0dLenjy5CnR5ZMn2agiV,7bFFUPBiF15n8m8RziqS4o,https://i.scdn.co/image/ab67616d00001e0212a6bd687aec4105bc06fcdf
2026-07-29,vn,Vietnam,6,–,vết thương,Fishy,7kSmS2G15QIw8rllwGex9r,6mKMGpkgP2cH5gmqILWe7b,https://i.scdn.co/image/ab67616d00001e02cb2a3066584a339e09508520
2026-07-29,vn,Vietnam,7,–,SWIM,BTS,3Nrfpe0tUJi4K4DXYWgMUX,68lbSrXDORS51pmyjZv712,https://i.scdn.co/image/ab67616d00001e02dfa17fad7f190c901603270e
2026-07-29,vn,Vietnam,8,–,Exit Sign,HIEUTHUHAI; marzuz,5HZtdKfC4xU0wvhEyYDWiY; 3y6Lfjkrdn5TgkbgDxbpvM,4nXrVH5xwN1w6TpmP7uu8n,https://i.scdn.co/image/ab67616d00001e02c006b0181a3846c1c63e178f
2026-07-29,vn,Vietnam,9,2,Và Thế Giới Đã Mất Đi Một Người Cô Đơn,marzuz; Changg,3y6Lfjkrdn5TgkbgDxbpvM; 1nX1HVIUo1Zfs3e2v3lFb9,6Qwl74olNi1rl65FNxG5We,https://i.scdn.co/image/ab67616d00001e02634fee188263a0d6bd8d822d
2026-07-29,vn,Vietnam,10,–,Người Im Lặng Gặp Người Hay Nói,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,5xVCfx47vCXuLdpfbepqEo,https://i.scdn.co/image/ab67616d00001e029786a600b159da21312fb356
2026-07-29,vn,Vietnam,11,1,Em (feat. SOOBIN),Binz; SOOBIN,2nSO7JYDbJrYbJmP39qUzj; 6CGGvCBHWqQ4HXtn5aLhbh,0a32EBPjqAe47cYDPE5Ia5,https://i.scdn.co/image/ab67616d00001e02113b4bb24fa0898ce579d19c
2026-07-29,vn,Vietnam,12,3,Ngày Rời Chuyến Bay,Minh Huy; Pinny,5zT1Ku9mzzl6RW5y4z0hUK; 3qkLndunlLATOqHJeefh7J,73RcFjiDtStfP3GCW44vJu,https://i.scdn.co/image/ab67616d00001e026710f4e7e1be806c3e31a67d
2026-07-29,vn,Vietnam,13,1,"THẾ GIỚI CỦA ANH (feat. Dương Domic, WEAN, CONGB, buitruonglinh & Van Toan)","TINH HÀ ""SAY HI""; Dương Domic; WEAN; CONGB; buitruonglinh; Van Toan",2dLayz7AThHVFmsIbsvTKh; 4KPyQxL1zqEiBcTwW6c9HE; 30eFAXoU2kTjJPf2cq80B8; 0n5wPsNoNc7w1bElyNzY4Z; 7Cp2hGcriAaDUAWpXnSEwm; 5af1P6XDYgWZSJ8T0Fh5cT,0CY9y1F7RcRSV3raHljdxu,https://i.scdn.co/image/ab67616d00001e02ecbec3da3fc21b7b720f652e
2026-07-29,vn,Vietnam,14,1,In Love,Low G; JustaTee,6TITnFVRcl0AcZ4syE7Toe; 3rjcQ5VIWCN4q7UFetzdeO,7uUuftbcr94tzGOCJSM25u,https://i.scdn.co/image/ab67616d00001e0223cf61113b6f831989e68725
